SampleId	Class
AGMRSKPNI-NEG-1141	N
ATRINS-NEG-841	N
BABAPOE-DONOR-30	EI
CHPCD4A-NEG-961	N
CHPIGECA-DONOR-378	EI
GCRHBBA6-DONOR-461	EI
HUM5FDX-NEG-2041	N
HUMA1ATP-ACCEPTOR-7282	IE
HUMA1MICR-NEG-1081	N
HUMACCYBA-ACCEPTOR-1121	IE
HUMACCYBB-ACCEPTOR-1318	IE
HUMACTASK-NEG-1021	N
HUMADAG-DONOR-4034	EI
HUMAFP-ACCEPTOR-16955	IE
HUMAFP-ACCEPTOR-5216	IE
HUMAFP-DONOR-14021	EI
HUMALDB1-NEG-2761	N
HUMALDOAP-NEG-661	N
HUMALPHA-ACCEPTOR-1369	IE
HUMALPHA-ACCEPTOR-2440	IE
HUMALPHLB-NEG-901	N
HUMALPI-ACCEPTOR-2926	IE
HUMALPI-ACCEPTOR-646	IE
HUMALPI-DONOR-532	EI
HUMALPI-DONOR-762	EI
HUMALPPD-ACCEPTOR-421	IE
HUMAMY2A-NEG-361	N
HUMAPA4R-NEG-2761	N
HUMAPB13-NEG-1	N
HUMAPOA4A-ACCEPTOR-1382	IE
HUMAPOA4C-NEG-2761	N
HUMAPOAI1-DONOR-716	EI
HUMAPOBA-NEG-13261	N
HUMAPOBG-NEG-121	N
HUMAPOCIA-ACCEPTOR-634	IE
HUMAPOCII-ACCEPTOR-3131	IE
HUMARP450-NEG-2521	N
HUMATCT4-NEG-1561	N
HUMATP-NEG-1981	N
HUMATP1A2-ACCEPTOR-21144	IE
HUMATP1A2-DONOR-10208	EI
HUMATP1A2-DONOR-22962	EI
HUMATPSYB-DONOR-8947	EI
HUMATPSYB-NEG-841	N
HUMATPSYB-NEG-9961	N
HUMB100DI-NEG-121	N
HUMBNPA-ACCEPTOR-1629	IE
HUMC1INH-NEG-481	N
HUMCATF-DONOR-646	EI
HUMCATR-NEG-1081	N
HUMCFVII-DONOR-4425	EI
HUMCG2A1-NEG-1	N
HUMCN4GEL-NEG-2521	N
HUMCP21OHC-ACCEPTOR-3163	IE
HUMCR1-NEG-241	N
HUMCR1-NEG-4801	N
HUMCRYGBC-ACCEPTOR-5283	IE
HUMCS1-DONOR-1304	EI
HUMCYC1A-ACCEPTOR-3281	IE
HUMCYES1-NEG-1501	N
HUMCYPIIE-DONOR-2972	EI
HUMCYPMP-NEG-181	N
HUMDAFA-ACCEPTOR-1235	IE
HUMDAFA-NEG-1561	N
HUMDYS-NEG-12961	N
HUMEF1A-DONOR-3546	EI
HUMELAM1A-NEG-1141	N
HUMERP-DONOR-1653	EI
HUMERPA-ACCEPTOR-2273	IE
HUMERPA-DONOR-608	EI
HUMFBRG-NEG-2641	N
HUMFMSD-NEG-661	N
HUMFXIIIB-NEG-841	N
HUMG0S19B-DONOR-3063	EI
HUMG3PD-NEG-481	N
HUMGCB-NEG-2281	N
HUMGH-DONOR-1061	EI
HUMGHCSA-ACCEPTOR-43393	IE
HUMGHCSA-DONOR-13551	EI
HUMGIAA-NEG-901	N
HUMGLYPL-NEG-1081	N
HUMGPP3A11-NEG-961	N
HUMGRP78-ACCEPTOR-2145	IE
HUMGSHPXG-ACCEPTOR-968	IE
HUMH19-DONOR-2359	EI
HUMHBB-NEG-5761	N
HUMHBBAG-NEG-1441	N
HUMHBBGG-DONOR-2241	EI
HUMHBVINT-NEG-61	N
HUMHLADP4-NEG-721	N
