ICO	DENUMR	MESUMR	ROKUMR	PRICUMR
10004	14	9	98	7
10014	22	1	92	9
10015	4	12	91	16
10017	15	4	82	9
10026	29	4	91	17
10078	18	7	82	8
10118	16	10	89	5
10154	13	11	85	16
10157	25	12	86	16
10164	11	6	91	16
10190	5	8	82	5
10194	25	6	92	17
10212	15	12	78	7
10288	9	4	88	7
10291	19	6	86	16
10298	30	7	88	8
10306			93	10
10311	11	5	97	8
10323	4	4	94	5
10343	31	12	87	6
10371			86	10
10376	15	5	83	8
10387	25	8	92	8
10397	26	1	98	6
10402	18	2	96	7
10411	9	1	86	16
10439	14	9	91	8
10453	27	5	98	6
10459	15	9	93	16
10463	5	1	96	5
10470	27	3	95	16
10489			81	5
10529	25	4	82	8
10532	20	7	82	7
10535	15	12	83	9
10569	7	3	96	5
10595	13	8	97	16
10596	22	5	86	6
10598	20	6	96	16
10599	15	4	81	6
10638	31	12	90	5
10640	30	11	98	17
10681	21	8	97	9
10709	15	1	83	5
10726	26	3	92	6
10754	22	3	95	16
10769	16	12	84	16
10810	3	4	97	16
10824	17	11	99	16
10857	15	3	83	8
10882			85	10
10891	18	3	79	8
10899	21	5	89	6
10903	19	9	85	5
10924	4	10	98	16
10926	2	11	98	8
10931		1	90	17
10959	7	2	94	16
10972	13	5	81	8
20002	1	8	97	16
20007	26	1	1	7
20042	28	2	98	16
20047	19	3	96	5
20081	23	2	0	16
20131	25	5	98	16
20148	22	4	96	16
20166	1	9	99	16
20190	20	1	86	16
20191	7	10	91	16
20193	27	11	82	5
20226	2	6	79	6
20242	22	6	94	8
20263	23	4	87	8
20287	27	2	99	5
20290	28	8	92	8
20309	17	9	93	16
20330	9	5	94	7
20332	11	2	93	8
20344	15	9	83	16
30014	29	1	96	7
30015	30	11	96	6
30022	4	5	94	5
30048	25	10	90	8
30057			85	8
