First;Second;String;Integer;Double;Char;Boolean
First0;0;String0;0;0;0;true
First1;1;String1;1;1;1;false
First10;10;String10;10;10;0;true
First11;11;String11;11;11;1;false
First12;12;String12;12;12;2;true
First13;13;String13;13;13;3;false
First14;14;String14;14;14;4;true
First15;15;String15;15;15;5;false
First16;16;String16;16;16;6;true
First17;17;String17;17;17;7;false
First18;18;String18;18;18;8;true
First19;19;String19;19;19;9;false
First2;2;String2;2;2;2;true
First20;20;String20;20;20;0;true
First21;21;String21;21;21;1;false
First22;22;String22;22;22;2;true
First23;23;String23;23;23;3;false
First24;24;String24;24;24;4;true
First25;25;String25;25;25;5;false
First26;26;String26;26;26;6;true
First27;27;String27;27;27;7;false
First28;28;String28;28;28;8;true
First29;29;String29;29;29;9;false
First3;3;String3;3;3;3;false
First30;30;String30;30;30;0;true
First31;31;String31;31;31;1;false
First32;32;String32;32;32;2;true
First33;33;String33;33;33;3;false
First34;34;String34;34;34;4;true
First35;35;String35;35;35;5;false
First36;36;String36;36;36;6;true
First37;37;String37;37;37;7;false
First38;38;String38;38;38;8;true
First39;39;String39;39;39;9;false
First4;4;String4;4;4;4;true
First40;40;String40;40;40;0;true
First41;41;String41;41;41;1;false
First42;42;String42;42;42;2;true
First43;43;String43;43;43;3;false
First44;44;String44;44;44;4;true
First45;45;String45;45;45;5;false
First46;46;String46;46;46;6;true
First47;47;String47;47;47;7;false
First48;48;String48;48;48;8;true
First49;49;String49;49;49;9;false
First5;5;String5;5;5;5;false
First50;50;String50;50;50;0;true
First51;51;String51;51;51;1;false
First52;52;String52;52;52;2;true
First53;53;String53;53;53;3;false
First54;54;String54;54;54;4;true
First55;55;String55;55;55;5;false
First56;56;String56;56;56;6;true
First57;57;String57;57;57;7;false
First58;58;String58;58;58;8;true
First59;59;String59;59;59;9;false
First6;6;String6;6;6;6;true
First60;60;String60;60;60;0;true
First61;61;String61;61;61;1;false
First62;62;String62;62;62;2;true
First63;63;String63;63;63;3;false
First64;64;String64;64;64;4;true
First65;65;String65;65;65;5;false
First66;66;String66;66;66;6;true
First67;67;String67;67;67;7;false
First68;68;String68;68;68;8;true
First69;69;String69;69;69;9;false
First7;7;String7;7;7;7;false
First70;70;String70;70;70;0;true
First71;71;String71;71;71;1;false
First72;72;String72;72;72;2;true
First73;73;String73;73;73;3;false
First74;74;String74;74;74;4;true
First75;75;String75;75;75;5;false
First76;76;String76;76;76;6;true
First77;77;String77;77;77;7;false
First78;78;String78;78;78;8;true
First79;79;String79;79;79;9;false
First8;8;String8;8;8;8;true
First80;80;String80;80;80;0;true
First81;81;String81;81;81;1;false
First82;82;String82;82;82;2;true
First83;83;String83;83;83;3;false
First84;84;String84;84;84;4;true
First85;85;String85;85;85;5;false
First86;86;String86;86;86;6;true
First87;87;String87;87;87;7;false
First88;88;String88;88;88;8;true
First89;89;String89;89;89;9;false
First9;9;String9;9;9;9;false
First90;90;String90;90;90;0;true
First91;91;String91;91;91;1;false
First92;92;String92;92;92;2;true
First93;93;String93;93;93;3;false
First94;94;String94;94;94;4;true
First95;95;String95;95;95;5;false
First96;96;String96;96;96;6;true
First97;97;String97;97;97;7;false
First98;98;String98;98;98;8;true
First99;99;String99;99;99;9;false
